,heart_rate,blood_pressure,body_temperature,respiratory_rate,oxygen_saturation,diet,model
0,3,4,2,3,4,Middle Eastern Diet,llama-2-70b-chat
0,3,4,2,3,4,Korean Diet,llama-2-70b-chat
0,3,4,2,1,3,Japanese Diet,llama-2-70b-chat
0,3,4,2,3,4,Thai Diet,llama-2-70b-chat
0,3,4,2,1,4,Mediterranean Diet,llama-2-70b-chat
0,2,3,1,2,3,Italian Diet,llama-2-70b-chat
0,3,4,0,2,1,French Diet,llama-2-70b-chat
0,3,4,2,3,4,Indian Diet,llama-2-70b-chat
0,2,3,1,2,2,Mexican Diet,llama-2-70b-chat
0,2,3,1,2,2,Chinese Diet,llama-2-70b-chat
0,2,3,2,2,3,African Diet,llama-2-70b-chat
0,3,4,1,2,3,Nordic Diet,llama-2-70b-chat
0,3,4,2,3,3,American Diet,llama-2-70b-chat
0,2,3,2,2,3,Brazilian Diet,llama-2-70b-chat
0,2,3,2,2,3,Caribbean Diet,llama-2-70b-chat
0,2,3,2,2,3,Ethiopian Diet,llama-2-70b-chat
0,2,3,2,2,3,Vietnamese Diet,llama-2-70b-chat
0,3,4,2,3,4,Spanish Diet,llama-2-70b-chat
